SCAT_ID	CCB_ID	JGI_ID
SCAT_0127	embl-cds:CCB72865	no IMG ID
SCAT_0128	embl-cds:CCB72866	no IMG ID
SCAT_0130	embl-cds:CCB72867	no IMG ID
SCAT_0129	embl-cds:CCB72868	2504911435
SCAT_0131	embl-cds:CCB72869	2504911434
SCAT_0132	embl-cds:CCB72870	2504911433
SCAT_0133	embl-cds:CCB72871	2504911432
SCAT_0134	embl-cds:CCB72872	2504911431
SCAT_0135	embl-cds:CCB72873	2504911430
SCAT_0136	embl-cds:CCB72874	2504911429
SCAT_0137	embl-cds:CCB72875	2504911428
SCAT_0138	embl-cds:CCB72876	2504911425
SCAT_0139	embl-cds:CCB72877	no IMG ID
SCAT_0140	embl-cds:CCB72878	2504911424
SCAT_0141	embl-cds:CCB72879	2504911423
SCAT_0142	embl-cds:CCB72880	no IMG ID
SCAT_0143	embl-cds:CCB72881	2504911421
SCAT_0144	embl-cds:CCB72882	2504911420
SCAT_0145	embl-cds:CCB72883	2504911631
SCAT_0146	embl-cds:CCB72884	2504911417
SCAT_0147	embl-cds:CCB72885	no IMG ID
SCAT_0148	embl-cds:CCB72886	2504913051
SCAT_0149	embl-cds:CCB72887	no IMG ID
SCAT_0150	embl-cds:CCB72888	2504907436
SCAT_0151	embl-cds:CCB72889	no IMG ID
SCAT_0152	embl-cds:CCB72890	no IMG ID
SCAT_0153	embl-cds:CCB72891	2504907437
SCAT_0154	embl-cds:CCB72892	2504907438
SCAT_0155	embl-cds:CCB72893	2504907439
SCAT_0156	embl-cds:CCB72894	2504907440
SCAT_0157	embl-cds:CCB72895	2504907441
SCAT_0158	embl-cds:CCB72896	2504907442
SCAT_0159	embl-cds:CCB72897	no IMG ID
SCAT_0160	embl-cds:CCB72898	2504907443
SCAT_0161	embl-cds:CCB72899	2504907444
SCAT_0162	embl-cds:CCB72900	no IMG ID
SCAT_0163	embl-cds:CCB72901	2504907445
SCAT_0164	embl-cds:CCB72902	2504907446
SCAT_0165	embl-cds:CCB72903	2504907447
SCAT_0166	embl-cds:CCB72904	no IMG ID
SCAT_0167	embl-cds:CCB72905	2504907448
SCAT_0168	embl-cds:CCB72906	2504907449
SCAT_0169	embl-cds:CCB72907	2504907450
SCAT_0170	embl-cds:CCB72908	2504907451
SCAT_0171	embl-cds:CCB72909	no IMG ID
SCAT_0172	embl-cds:CCB72910	2504907452
SCAT_0173	embl-cds:CCB72911	2504907453
SCAT_0174	embl-cds:CCB72912	2504907454
SCAT_0175	embl-cds:CCB72913	2504907455
SCAT_0176	embl-cds:CCB72914	2504907456
SCAT_0177	embl-cds:CCB72915	2504907457
SCAT_0178	embl-cds:CCB72916	2504907458
SCAT_0179	embl-cds:CCB72917	no IMG ID
SCAT_0180	embl-cds:CCB72918	2504907459
SCAT_0181	embl-cds:CCB72919	2504907460
SCAT_0182	embl-cds:CCB72920	no IMG ID
SCAT_0183	embl-cds:CCB72921	2504909740
SCAT_0184	embl-cds:CCB72922	2504908575
SCAT_0185	embl-cds:CCB72923	2504908574
SCAT_0186	embl-cds:CCB72924	2504908573
SCAT_0187	embl-cds:CCB72925	2504908572
SCAT_0188	embl-cds:CCB72926	2504908571
SCAT_0189	embl-cds:CCB72927	2504908570
SCAT_0190	embl-cds:CCB72928	2504908569
SCAT_0191	embl-cds:CCB72929	2504908568
SCAT_0192	embl-cds:CCB72930	2504908567
SCAT_0193	embl-cds:CCB72931	2504908566
SCAT_0194	embl-cds:CCB72932	2504908565
SCAT_0195	embl-cds:CCB72933	2504908564
SCAT_0196	embl-cds:CCB72934	2504908563
SCAT_0197	embl-cds:CCB72935	2504908562
SCAT_0198	embl-cds:CCB72936	2504908561
SCAT_0199	embl-cds:CCB72937	no IMG ID
SCAT_0200	embl-cds:CCB72938	2504908560
SCAT_0201	embl-cds:CCB72939	2504908559
SCAT_0202	embl-cds:CCB72940	2504908558
SCAT_0203	embl-cds:CCB72941	2504908557
SCAT_0204	embl-cds:CCB72942	2504908556
SCAT_0205	embl-cds:CCB72943	2504908555
SCAT_0206	embl-cds:CCB72944	2504908553
SCAT_0207	embl-cds:CCB72945	2504908552
SCAT_0208	embl-cds:CCB72946	2504908551
SCAT_0209	embl-cds:CCB72947	2504908550
SCAT_0210	embl-cds:CCB72948	2504908549
SCAT_0211	embl-cds:CCB72949	2504908548
SCAT_0212	embl-cds:CCB72950	2504908547
SCAT_0213	embl-cds:CCB72951	2504908546
SCAT_0214	embl-cds:CCB72952	2504908545
SCAT_0215	embl-cds:CCB72953	2504908544
SCAT_0216	embl-cds:CCB72954	2504908543
SCAT_0217	embl-cds:CCB72955	2504908542
SCAT_0218	embl-cds:CCB72956	2504908541
SCAT_0219	embl-cds:CCB72957	2504908540
SCAT_0220	embl-cds:CCB72958	2504908539
SCAT_0221	embl-cds:CCB72959	2504908538
SCAT_0222	embl-cds:CCB72960	2504908537
SCAT_0223	embl-cds:CCB72961	2504908536
SCAT_0224	embl-cds:CCB72962	2504908535
SCAT_0225	embl-cds:CCB72963	2504908534
SCAT_0226	embl-cds:CCB72964	2504908533
SCAT_0227	embl-cds:CCB72965	2504909817
